trial,found_ik,solve_time,position_error,orientation_error,px, py, pz, t1, t2,t3,t4,t5,t6,t7, p1, p2, p3, p4, p5, p6 , p7
39,false,100031,0.956576,2.58434,-0.122496,-0.154112,0.115491,2.10044, 1.68115, -2.58237, -1.69132, 0.816095, 3.60992, 1.59827,
40,true,2726,7.48015e-06,1.08973e-05,-0.479025,-0.427164,0.826722,-2.30949, 0.763294, -1.28998, -0.339858, 2.15746, 1.45784, -1.2852,0.777598, -1.1321, 0.501741, -0.598218, -2.68153, 1.29939, -1.06484
41,false,100044,0.872464,1.20909,-0.52941,0.276289,0.847032,-2.79237, 1.31723, 1.46557, -0.384312, -0.967223, 1.73947, 2.2559,
42,true,974,4.88267e-06,7.08498e-06,0.605858,0.538442,0.416309,-2.45647, -1.55965, -1.74545, 0.00811368, 1.27385, 1.81455, -1.60622,1.04666, 1.18669, -0.790525, -0.93728, -2.89426, 1.40351, -1.51718
43,false,100019,0.965025,2.87242,-0.684894,0.461295,0.504173,-2.82286, -0.452813, -0.49025, -0.877557, -0.869793, 2.93897, 2.766,
44,true,2687,5.40123e-06,1.20502e-05,0.265076,-0.0242927,1.01755,1.9334, -0.641741, -0.800228, -0.720962, 0.481332, 1.23085, -2.27164,-2.71636, -0.468396, 1.18573, -0.731005, -2.79443, 0.629144, -1.99284
45,false,100051,0.384486,2.66923,0.10651,-0.380876,1.04288,-2.24176, 0.0362051, 1.83882, -1.59555, -2.70616, 1.00692, -1.1199,
46,true,663,4.5668e-06,8.57793e-06,0.104212,-0.39461,0.738963,-2.50087, 1.48474, 2.35713, -1.8071, 0.0846436, 1.64236, 0.482559,2.81567, 0.389172, 2.13381, -1.69516, 1.13113, 0.990265, -0.259367
47,true,2100,2.85549e-06,1.05591e-05,0.11352,0.344208,0.187067,-0.440257, -1.1909, 2.1783, -2.37599, 2.43585, 3.5684, -1.0887,2.52214, 0.974899, -0.766468, -2.46853, 1.9541, 3.7525, -0.64425
48,true,263,4.36817e-06,1.21397e-05,-0.26528,0.0553221,0.310175,1.88241, -1.29832, 1.41202, -2.77705, 0.227013, 1.60726, -1.8959,-0.303881, 0.358894, -2.81336, -2.74731, -0.479855, 1.45839, -1.00488
49,false,100044,0.575138,2.26373,0.155729,-0.075722,0.214577,2.38711, -1.32943, -0.909456, -1.07998, -1.73219, 0.490477, -1.52357,
50,true,1197,6.4311e-06,1.16001e-05,-0.252848,-0.472949,0.762714,-2.48135, 1.45372, 2.76263, -0.905492, -0.505036, 1.03464, 1.3757,0.248314, -1.04313, -1.22887, -0.919879, 0.341196, 1.0763, 0.940055
51,true,955,1.41457e-05,1.21533e-05,0.226717,-0.543461,0.851832,-1.77978, 1.24176, 2.46072, -0.933117, -0.656562, 1.82897, -0.778419,-0.949885, 1.23437, -2.44095, -0.924039, -2.36508, 1.1784, -0.746393
52,false,100041,1.26961,1.11925,-0.396913,-0.488735,0.366795,2.39952, 1.38506, -0.957952, -1.03943, 0.980379, 3.18313, 0.788868,
53,true,616,3.38404e-06,1.00022e-05,0.425717,-0.0535655,0.824029,2.09949, -0.0599402, -1.87617, -1.41297, -2.01326, 0.542144, 1.11989,2.69325, -1.55115, -0.5287, -1.40697, 1.19851, 1.10239, -0.119585
54,false,100034,0.611135,2.68973,0.464892,-0.0943441,0.654179,0.304904, 1.40868, -1.46558, -2.26634, 0.544079, 2.18112, -2.01498,
55,true,1506,2.2007e-06,1.32673e-05,0.0486998,0.107896,0.0287408,-1.2531, -0.862676, 2.56678, -2.84029, -1.81061, 3.1799, -2.55335,2.42785, -1.33659, -2.45281, -3.03429, -2.28833, 1.29712, 2.8973
56,true,1889,6.20818e-06,7.97764e-06,-0.0131979,-0.39136,1.0563,-0.418326, 0.259436, -1.45546, -0.763243, -1.7003, 1.78596, 2.81577,0.772153, -0.178725, -1.86386, -0.814485, -2.52218, 1.51846, 2.69433
57,true,426,1.58153e-06,1.21442e-05,-0.0490988,0.15557,0.702799,2.41116, -1.48334, -0.114937, -2.66005, 1.77834, 2.74452, -1.45789,0.868217, -1.49512, 0.123498, -2.78298, 2.25101, 1.45188, -0.922231
58,false,100137,0.709515,1.07778,0.716261,-0.463896,0.286261,1.89494, -0.192444, 2.64409, -1.64675, 1.09556, 0.684668, 0.249757,
59,true,1240,2.68196e-06,8.39209e-06,0.0451732,-0.629832,0.755864,-0.699638, 1.20635, -2.01381, -1.0525, 2.88712, 3.10405, -2.61379,-0.716104, 1.24697, -2.0438, -1.06807, 2.80563, 3.09013, -2.47703
60,true,545,1.65979e-06,1.00829e-05,0.174276,-0.664028,0.269162,0.860224, -1.41759, -1.61514, -1.67189, -1.82932, 1.63934, 2.42578,-0.930268, 0.614097, -0.436393, -1.76597, -0.126633, 2.59298, 1.85451
61,false,100055,1.31521,2.80412,0.3667,0.29884,0.818644,2.15502, 1.63894, 0.327333, -1.46367, 0.502493, 2.74834, -2.05984,
62,true,17474,6.53524e-06,1.31322e-05,0.0256808,-0.165492,1.03134,0.377513, -0.178364, -0.32788, -0.493743, -1.94785, 0.691858, -2.02493,-0.190019, 0.33485, -2.8973, -0.333032, 0.921844, 0.879549, -2.41897
63,true,806,2.30133e-06,7.42117e-06,-0.15301,-0.362479,0.6259,-0.220755, 1.26736, -2.08568, -2.5365, -2.42049, 1.56809, 1.45956,-1.77751, -0.546556, -0.236664, -2.58746, 2.82319, 1.29174, 0.462457
64,true,5188,5.51439e-06,1.33862e-05,-0.13573,-0.760565,0.654032,1.01698, -1.15134, -1.79189, -0.515478, -1.87932, 2.95152, -0.838111,1.37085, -1.34493, -0.222816, -0.170156, -2.8973, 2.86232, -1.53057
65,true,493,1.90885e-06,7.76168e-06,-0.164939,0.125763,0.0703506,-2.34749, -1.07912, -2.63569, -2.9794, -0.983573, 3.14697, 0.216274,1.00196, 1.17841, 0.609115, -2.54678, -2.8973, 3.38713, 2.34979
66,true,1552,1.08983e-05,9.15467e-06,-0.441894,0.449903,0.721525,-0.631703, -0.875786, 1.26039, -0.0401184, 1.193, 1.06988, 2.35511,-1.24476, -0.546444, -2.06229, -0.821494, -1.1448, 1.19396, 2.71252
67,true,426,9.69494e-07,8.28767e-06,-0.365966,0.00634473,0.0401188,2.40602, 0.990524, 0.280071, -2.26621, 1.27047, 1.28034, -0.568795,-2.67314, 1.24221, -0.682133, -2.28079, 1.98971, 0.333566, -0.510169
68,true,78903,8.40265e-06,1.05013e-05,-0.426954,-0.3853,0.651456,-2.07858, 0.697794, -0.818981, -0.487223, 0.218408, 0.545996, 0.678067,-2.0797, 0.714963, -0.859478, -0.46469, 0.251871, 0.533908, 0.667668
69,false,100038,1.0348,2.26615,-0.531682,-0.1244,0.932346,2.85224, 1.53484, -1.60174, -2.89143, 0.39304, 3.08475, -1.25908,
