trial,found_ik,solve_time,position_error,orientation_error,px, py, pz, t1, t2,t3,t4,t5,t6,t7, p1, p2, p3, p4, p5, p6 , p7
90,true,599,2.07104e-06,6.64245e-06,0.252278,0.439865,0.843988,0.429803, -0.136574, 0.469839, -1.69044, 2.73572, 1.44637, 0.850474,-0.222963, 1.0277, 2.16218, -1.58996, 1.67038, 2.24073, 0.376138
91,true,6781,2.2565e-06,9.86529e-06,0.639453,0.136569,0.405086,-1.81443, -1.69671, 1.49403, -1.92508, 0.828702, 3.10764, 1.13145,-2.06325, -1.18344, 2.00073, -1.40102, 1.95983, 3.7525, -0.514323
92,false,100021,1.14735,2.96798,-0.483251,0.33482,0.140076,-2.84333, -0.95634, 0.883807, -1.64206, -0.847304, 1.5291, 1.15197,
93,true,400,2.14287e-06,5.14267e-06,-0.0348196,0.130856,-0.00499904,2.50549, 1.50592, -0.371353, -2.83184, 2.72009, 0.260622, -0.369048,-0.214958, 1.29771, 0.371954, -2.80837, 0.674451, 2.45373, -0.548316
94,true,3774,3.43707e-06,5.3202e-06,-0.611321,-0.47873,0.453937,0.64876, -1.35813, 2.09244, -0.3017, 2.78844, 1.1934, -0.236775,0.844348, -1.51178, 1.4012, -0.620178, -2.7574, 1.05907, -0.0981829
95,true,23053,5.96851e-06,1.05085e-05,0.106679,-0.146998,0.168736,1.05175, 0.576637, -1.66974, -3.02382, -2.53043, 3.02696, 1.46521,-2.01405, -0.488937, 1.27786, -3.0718, -2.3701, 2.95359, 1.16488
96,true,2008,2.0895e-06,9.85494e-06,0.493558,-0.295097,0.450531,-1.09735, 0.187278, 0.413602, -2.16252, -0.85832, 3.59296, 1.04094,1.31347, -0.540474, -1.823, -1.88522, -2.35159, 3.15793, 2.24559
97,true,966,1.90961e-06,5.67184e-06,0.45402,0.0210976,0.291113,-1.48081, 0.550361, 1.54649, -2.35334, 2.72106, 2.96565, -0.275278,1.69424, 1.60274, -1.57894, -2.67038, 2.65735, 1.64423, 1.63927
98,true,736,5.55049e-06,8.64495e-06,-0.134478,0.525486,0.719112,-0.723573, -0.0328809, 2.29192, -1.65988, 1.88125, 1.18188, 0.616245,-2.58808, -0.0454336, -2.07921, -1.65619, 1.81782, 1.23419, 0.603483
99,true,2288,3.29994e-06,1.0569e-05,0.0716015,0.583185,0.699179,-2.60526, -1.42037, -1.04522, -1.81436, -0.264482, 3.62882, -1.39937,-2.8973, -1.09914, -1.11058, -1.57809, 2.40457, 2.86288, 2.66667
100,true,1235,2.04405e-06,1.02703e-05,0.0131549,0.133637,-0.040738,0.72455, -1.54194, 2.79271, -2.65299, -2.01981, 2.78712, -0.431338,0.979688, 1.15486, 0.0806048, -2.88728, 2.8973, 1.18679, -2.16524
